Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,40278.449219,42312.714844,39871.597656,41499.007813,29065.033203,27405
2000-01-05,40644.617188,41499.007813,39057.890625,41499.007813,29065.033203,25439
2000-01-06,41499.007813,43940.128906,39627.484375,41417.640625,29008.042969,22735
2000-01-07,39952.968750,41499.007813,39952.968750,40685.304688,28495.130859,21137
2000-01-10,41499.007813,42231.343750,40766.675781,41499.007813,29065.033203,19786
2000-01-11,41580.378906,41905.863281,40115.710938,41499.007813,29065.033203,19540
2000-01-12,41336.269531,41336.269531,40359.820313,40685.304688,28495.130859,16713
2000-01-13,40685.304688,41499.007813,40359.820313,40766.675781,28552.128906,26913
2000-01-14,40685.304688,41254.898438,40278.449219,40685.304688,28495.130859,9585
2000-01-17,40685.304688,41499.007813,40278.449219,41499.007813,29065.033203,22735
2000-01-18,40848.042969,40848.042969,40115.710938,40441.191406,28324.160156,29371
2000-01-19,39871.597656,39871.597656,37430.480469,38244.183594,26785.416016,26299
2000-01-20,36616.773438,38244.183594,36616.773438,37023.625000,25930.568359,16222
2000-01-21,36616.773438,36942.253906,34582.507813,36209.917969,25360.666016,42644
2000-01-24,35070.730469,36535.402344,35070.730469,36209.917969,25360.666016,28019
2000-01-25,34989.359375,37023.625000,34663.878906,35803.066406,25075.712891,39694
2000-01-26,34826.621094,39464.746094,34826.621094,39464.746094,27640.281250,29617
2000-01-27,36616.773438,39302.003906,36616.773438,39057.890625,27355.330078,12658
2000-01-28,38651.039063,40197.078125,37511.847656,39871.597656,27925.230469,34902
2000-01-31,38162.812500,40034.339844,38162.812500,39627.484375,27754.257813,14624
2000-02-01,39627.484375,40685.304688,38813.781250,38935.835938,27269.839844,19048
2000-02-02,37837.332031,40685.304688,37837.332031,40685.304688,28495.130859,21137
2000-02-03,40685.304688,43045.050781,39871.597656,42312.714844,29634.935547,82339
2000-02-04,42312.714844,42312.714844,42312.714844,42312.714844,29634.935547,0
2000-02-07,44672.464844,44753.832031,40929.414063,43126.421875,30204.835938,63290
2000-02-08,43940.128906,43940.128906,42719.570313,43940.128906,30774.734375,55548
2000-02-09,43940.128906,44672.464844,42149.972656,43126.421875,30204.835938,15730
2000-02-10,42312.714844,42312.714844,39546.113281,39546.113281,27697.265625,19171
2000-02-11,40685.304688,40685.304688,39057.890625,39464.746094,27640.281250,14501
2000-02-14,38488.296875,40115.710938,37430.480469,37837.332031,26500.474609,34902
2000-02-15,37023.625000,39342.687500,37023.625000,37511.847656,26272.515625,19417
2000-02-16,37023.625000,38569.667969,36616.773438,38244.183594,26785.416016,43873
2000-02-17,37430.480469,39098.578125,37430.480469,37755.960938,26443.482422,23104
2000-02-18,37755.960938,38895.148438,36209.917969,37267.738281,26101.542969,19294
2000-02-21,36616.773438,37186.367188,35436.898438,36209.917969,25360.666016,10077
2000-02-22,36616.773438,36616.773438,34989.359375,36535.402344,25588.625000,11797
2000-02-23,36535.402344,38000.074219,35803.066406,37959.386719,26585.953125,14009
2000-02-24,37959.386719,37959.386719,36209.917969,37023.625000,25930.568359,14747
2000-02-25,37023.625000,37349.109375,36291.289063,36413.347656,25503.144531,42398
2000-02-28,36942.253906,37023.625000,35314.843750,35396.214844,24790.769531,12903
2000-02-29,36291.289063,36331.976563,34989.359375,34989.359375,24505.814453,35393
2000-03-01,34989.359375,34989.359375,34989.359375,34989.359375,24505.814453,0
2000-03-02,34989.359375,35681.011719,33361.949219,34175.656250,23935.910156,62799
2000-03-03,34216.339844,34826.621094,31978.648438,32548.242188,22796.103516,111342
2000-03-06,33117.835938,34989.359375,31327.683594,33931.542969,23764.937500,93276
2000-03-07,34257.023438,36128.550781,33606.058594,36128.550781,25303.677734,84674
2000-03-08,35803.066406,36860.882813,34989.359375,36291.289063,25417.650391,55916
2000-03-09,36291.289063,38244.183594,32548.242188,32548.242188,22796.103516,176845
2000-03-10,36616.773438,37430.480469,35721.695313,37430.480469,26215.521484,56039
2000-03-13,41987.234375,41987.234375,39179.945313,40685.304688,28495.130859,98807
2000-03-14,38244.183594,40278.449219,38244.183594,39464.746094,27640.281250,21383
2000-03-15,39464.746094,39464.746094,36616.773438,37430.480469,26215.521484,32198
2000-03-16,37430.480469,39871.597656,37023.625000,37430.480469,26215.521484,35639
2000-03-17,38244.183594,38651.039063,36779.515625,36860.882813,25816.583984,41046
2000-03-20,37430.480469,37430.480469,36616.773438,37430.480469,26215.521484,28757
2000-03-21,37023.625000,38244.183594,36128.550781,38244.183594,26785.416016,11429
2000-03-22,37023.625000,38162.812500,36982.941406,37674.589844,26386.492188,32812
2000-03-23,36616.773438,37511.847656,36047.179688,37430.480469,26215.521484,37851
2000-03-24,36494.718750,37023.625000,36494.718750,36779.515625,25759.599609,57637
2000-03-27,36616.773438,38244.183594,36209.917969,38244.183594,26785.416016,32812
2000-03-28,38162.812500,41010.785156,37430.480469,39627.484375,27754.257813,57514
2000-03-29,38651.039063,41499.007813,38651.039063,39871.597656,27925.230469,143049
2000-03-30,39871.597656,41417.640625,38244.183594,38244.183594,26785.416016,42275
2000-03-31,38081.445313,41092.156250,38081.445313,41092.156250,28780.080078,55916
2000-04-03,40644.617188,40644.617188,38976.519531,38976.519531,27298.337891,31338
2000-04-04,38976.519531,39871.597656,38651.039063,39464.746094,27640.281250,38220
2000-04-05,39464.746094,39464.746094,39464.746094,39464.746094,27640.281250,0
2000-04-06,39871.597656,39871.597656,38732.410156,39464.746094,27640.281250,22489
2000-04-07,38651.039063,39871.597656,38244.183594,38895.148438,27241.337891,15238
2000-04-10,39464.746094,40522.562500,38244.183594,38691.722656,27098.873047,34902
2000-04-11,38651.039063,39871.597656,37837.332031,38244.183594,26785.416016,16467
2000-04-12,38406.925781,41336.269531,37918.703125,39464.746094,27640.281250,62553
2000-04-13,39464.746094,39464.746094,39464.746094,39464.746094,27640.281250,0
2000-04-14,39057.890625,39830.910156,38244.183594,39464.746094,27640.281250,27651
2000-04-17,36616.773438,38244.183594,35070.730469,37755.960938,26443.482422,41784
2000-04-18,39302.003906,39302.003906,36616.773438,36860.882813,25816.583984,40186
2000-04-19,37430.480469,38895.148438,36616.773438,38325.554688,26842.408203,136904
2000-04-20,38244.183594,38651.039063,37349.109375,37674.589844,26386.492188,30723
2000-04-21,39057.890625,40359.820313,38244.183594,39057.890625,27355.330078,87869
2000-04-24,39057.890625,40197.078125,38244.183594,38732.410156,27127.369141,35024
2000-04-25,38244.183594,39993.652344,38244.183594,39871.597656,27925.230469,62921
2000-04-26,40319.136719,40563.246094,39017.207031,39017.207031,27326.832031,28142
2000-04-27,38976.519531,39546.113281,38325.554688,38895.148438,27241.337891,35024
2000-04-28,38406.925781,40197.078125,38406.925781,39830.910156,27896.734375,25316
2000-05-01,39830.910156,39830.910156,39830.910156,39830.910156,27896.734375,0
2000-05-02,40359.820313,41905.863281,39464.746094,40766.675781,28552.128906,89712
2000-05-03,41092.156250,41417.640625,39871.597656,41092.156250,28780.080078,33673
2000-05-04,41417.640625,41580.378906,40522.562500,40766.675781,28552.128906,26545
2000-05-05,40766.675781,40766.675781,40766.675781,40766.675781,28552.128906,0
2000-05-08,40766.675781,41336.269531,39708.855469,39708.855469,27811.242188,52598
2000-05-09,39708.855469,39708.855469,39708.855469,39708.855469,27811.242188,0
2000-05-10,39302.003906,39871.597656,38732.410156,39546.113281,27697.265625,72139
2000-05-11,39546.113281,39546.113281,39546.113281,39546.113281,27697.265625,0
2000-05-12,39302.003906,39464.746094,38081.445313,38325.554688,26842.408203,28634
