Date,Open,High,Low,Close,Adj Close,Volume
2000-07-12,29266.666016,29266.666016,29266.666016,29266.666016,25356.447266,600
2000-07-13,32766.666016,32766.666016,32766.666016,32766.666016,28388.826172,277200
2000-07-14,36666.667969,36666.667969,34833.332031,36666.667969,31767.765625,499200
2000-07-17,36666.667969,36666.667969,36666.667969,36666.667969,31767.765625,0
2000-07-18,41000.000000,41000.000000,41000.000000,41000.000000,35522.125000,29700
2000-07-19,41000.000000,41000.000000,41000.000000,41000.000000,35522.125000,29700
2000-07-20,51333.332031,51333.332031,40333.332031,40333.332031,34944.535156,1557300
2000-07-21,40333.332031,41666.667969,35500.000000,37333.332031,32345.353516,819600
2000-07-24,36333.332031,39666.667969,33000.000000,33300.000000,28850.902344,574800
2000-07-25,33000.000000,37166.667969,32700.000000,37166.667969,32200.962891,278700
2000-07-26,38833.332031,40666.667969,34000.000000,34666.667969,30034.974609,1218900
2000-07-27,34666.667969,35833.332031,32166.666016,32333.333984,28013.388672,544200
2000-07-28,31633.333984,33000.000000,29833.333984,30166.666016,26136.205078,883500
2000-07-31,29266.666016,32133.333984,28500.000000,31066.666016,26915.957031,794100
2000-08-01,31966.666016,34666.667969,31333.333984,34666.667969,30034.974609,421800
2000-08-02,36500.000000,38666.667969,33833.332031,34333.332031,29746.171875,1256400
2000-08-03,34333.332031,37000.000000,34333.332031,35500.000000,30756.970703,727800
2000-08-04,36166.667969,36333.332031,33133.332031,34000.000000,29457.382813,496500
2000-08-07,33166.667969,35833.332031,33166.667969,33833.332031,29312.978516,439200
2000-08-08,34333.332031,37833.332031,33833.332031,35333.332031,30612.566406,1522200
2000-08-09,35333.332031,36000.000000,33833.332031,34833.332031,30179.373047,393300
2000-08-10,34833.332031,35833.332031,33233.332031,33833.332031,29312.978516,411900
2000-08-11,33166.667969,33333.332031,30500.000000,31900.000000,27637.951172,609600
2000-08-14,32333.333984,32966.667969,31166.666016,31333.333984,27146.996094,298200
2000-08-15,31333.333984,31333.333984,31333.333984,31333.333984,27146.996094,0
2000-08-16,31000.000000,32500.000000,30366.666016,31766.666016,27522.429688,623700
2000-08-17,32000.000000,32233.333984,29733.333984,30300.000000,26251.724609,522600
2000-08-18,30333.333984,30833.333984,27833.333984,29633.333984,25674.130859,491400
2000-08-21,28033.333984,29466.666016,27333.333984,27566.666016,23883.580078,351900
2000-08-22,27333.333984,29666.666016,27133.333984,28666.666016,24836.613281,538800
2000-08-23,29300.000000,30166.666016,28166.666016,28166.666016,24403.416016,521100
2000-08-24,28366.666016,28966.666016,26866.666016,27200.000000,23565.900391,259200
2000-08-25,26700.000000,28000.000000,25800.000000,27033.333984,23421.507813,335400
2000-08-28,27400.000000,30266.666016,27033.333984,30266.666016,26222.839844,633600
2000-08-29,30666.666016,33500.000000,30033.333984,31333.333984,27146.996094,824700
2000-08-30,31700.000000,34666.667969,31633.333984,33500.000000,29024.181641,684900
2000-08-31,34333.332031,35333.332031,31666.666016,32533.333984,28186.669922,1013400
2000-09-01,32833.332031,33833.332031,32600.000000,33333.332031,28879.781250,315900
2000-09-04,34333.332031,37333.332031,34333.332031,37333.332031,32345.353516,281400
2000-09-05,40333.332031,41333.332031,37500.000000,39166.667969,33933.746094,1488000
